CODIGO,DESCRICAO_CID
C186,Neoplasia maligna do cólon descendente
C187,Neoplasia maligna do cólon sigmóide
C188,Neoplasia maligna do cólon com lesão invasiva
C189,"Neoplasia maligna do cólon, não especificado"
C19,Neoplasia maligna da junção retossigmóide
C20,Neoplasia maligna do reto
C210,"Neoplasia maligna do ânus, não especificado"
C211,Neoplasia maligna do canal anal
C218,"Neoplasia maligna do reto, ânus e do canal anal com lesão invasiva"
C220,Carcinoma de células hepáticas
C221,Carcinoma de vias biliares intra-hepáticas
C222,Hepatoblastoma
C227,Outros carcinomas especificados do fígado
C229,"Neoplasia maligna do fígado, não especificada"
C23,Neoplasia maligna da vesícula biliar
C240,Neoplasia maligna das vias biliares extra-hepáticas
C249,"Neoplasia maligna da via biliar, não especificada"
C250,Neoplasia maligna da cabeça do pâncreas
C251,Neoplasia maligna do corpo do pâncreas
C258,Neoplasia maligna do pâncreas com lesão invasiva
C259,"Neoplasia maligna do pâncreas, não especificado"
C310,Neoplasia maligna do seio maxilar
C320,Neoplasia maligna da glote
C321,Neoplasia maligna da região supraglótica
C328,Neoplasia maligna da laringe com lesão invasiva
C329,"Neoplasia maligna da laringe, não especificada"
C340,Neoplasia maligna do brônquio principal
C341,"Neoplasia maligna do lobo superior, brônquio ou pulmão"
C342,"Neoplasia maligna do lobo médio, brônquio ou pulmão"
C343,"Neoplasia maligna do lobo inferior, brônquio ou pulmão"
C348,Neoplasia maligna dos brônquios e dos pulmões com lesão invasiva
C349,"Neoplasia maligna dos brônquios ou pulmões, não especificado"
C37,Neoplasia maligna do timo
C400,Neoplasia maligna da omoplata [escápula] e ossos longos dos membros superiores
C402,Neoplasia maligna dos ossos longos dos membros inferiores
C403,Neoplasia maligna dos ossos curtos dos membros inferiores
C409,Neoplasia maligna dos ossos e cartilagens articulares de membro não especificado
C412,Neoplasia maligna da coluna vertebral
C414,"Neoplasia maligna dos ossos da pelve, sacro e cóccix"
C418,Neoplasia maligna dos ossos e das cartilagens articulares com lesão invasiva
C419,"Neoplasia maligna dos ossos e cartilagens articulares, não especificados"
C431,"Melanoma maligno da pálpebra, incluindo as comissuras palpebrais"
C433,Melanoma maligno de outras partes e partes não especificadas da face
C435,Melanoma maligno do tronco
C437,"Melanoma maligno do membro inferior, incluindo quadril"
C438,Melanoma maligno invasivo da pele
C439,"Melanoma maligno de pele, não especificado"
C440,Neoplasia maligna da pele do lábio
C441,"Neoplasia maligna da pele da pálpebra, incluindo o canto"
C442,Neoplasia maligna da pele da orelha e do conduto auditivo externo
C443,Neoplasia maligna da pele de outras partes e de partes não especificadas da face
C444,Neoplasia maligna da pele do couro cabeludo e do pescoço
C445,Neoplasia maligna da pele do tronco
C446,"Neoplasia maligna da pele do membro superior, incluindo ombro"
C447,"Neoplasia maligna da pele do membro inferior, incluindo quadril"
C448,Neoplasia maligna da pele com lesão invasiva
C449,"Neoplasia maligna da pele, não especificada"
C480,Neoplasia maligna do retroperitônio
C490,"Neoplasia maligna do tecido conjuntivo e tecidos moles da cabeça, face e pescoço"
C491,"Neoplasia maligna do tecido conjuntivo e tecidos moles dos membros superiores, incluindo ombro"
C492,"Neoplasia maligna do tecido conjuntivo e tecidos moles dos membros inferiores, incluindo quadril"
C493,Neoplasia maligna do tecido conjuntivo e tecidos moles do tórax
C495,Neoplasia maligna do tecido conjuntivo e tecidos moles da pelve
C496,Neoplasia maligna do tecido conjuntivo e tecidos moles do tronco
C498,Neoplasia maligna do tecido conjuntivo e dos tecidos moles com lesão invasiva
C499,"Neoplasia maligna do tecido conjuntivo e tecidos moles, não especificados"
C500,Neoplasia maligna do mamilo e aréola
C501,Neoplasia maligna da porção central da mama
C502,Neoplasia maligna do quadrante superior interno da mama
C503,Neoplasia maligna do quadrante inferior interno da mama
C504,Neoplasia maligna do quadrante superior externo da mama
C505,Neoplasia maligna do quadrante inferior externo da mama
C506,Neoplasia maligna da porção axilar da mama
C508,Neoplasia maligna da mama com lesão invasiva
C509,"Neoplasia maligna da mama, não especificada"
C510,Neoplasia maligna dos grandes lábios
C519,"Neoplasia maligna da vulva, não especificada"
C530,Neoplasia maligna do endocérvix
C531,Neoplasia maligna do exocérvix
C538,Neoplasia maligna do colo do útero com lesão invasiva
C539,"Neoplasia maligna do colo do útero, não especificado"
C541,Neoplasia maligna do endométrio
C548,Neoplasia maligna do corpo do útero com lesão invasiva
C549,"Neoplasia maligna do corpo do útero, não especificado"
C56,Neoplasia maligna do ovário
C609,"Neoplasia maligna do pênis, não especificado"
C61,Neoplasia maligna da próstata
C621,Neoplasia maligna do testículo tópico
C629,"Neoplasia maligna do testículo, sem outras especificações"
C64,"Neoplasia maligna do rim, exceto pelve renal"
C65,Neoplasia maligna da pelve renal
C66,Neoplasia maligna dos ureteres
C670,Neoplasia maligna do trígono da bexiga
C671,Neoplasia maligna da cúpula da bexiga
C672,Neoplasia maligna da parede lateral da bexiga
C673,Neoplasia maligna da parede anterior da bexiga
C674,Neoplasia maligna da parede posterior da bexiga
C675,Neoplasia maligna do colo da bexiga
C678,Neoplasia maligna da bexiga com lesão invasiva
C679,"Neoplasia maligna da bexiga, sem outra especificações"
C692,Neoplasia maligna da retina
C693,Neoplasia maligna da coróide
C698,Neoplasia maligna do olho e anexos com lesão invasiva
C699,"Neoplasia maligna do olho, não especificado"
C710,"Neoplasia maligna do cérebro, exceto lobos e ventrículos"
C711,Neoplasia maligna do lobo frontal
C715,Neoplasia maligna do ventrículo cerebral
C716,Neoplasia maligna do cerebelo
C717,Neoplasia maligna do tronco cerebral
C718,Neoplasia maligna do encéfalo com lesão invasiva
C719,"Neoplasia maligna do encéfalo, não especificado"
C728,Neoplasia maligna do encéfalo e de outras partes do sistema nervoso central com lesão invasiva
C729,"Neoplasia maligna do sistema nervoso central, não especificado"
C73,Neoplasia maligna da glândula tireóide
C740,Neoplasia maligna do córtex da supra-renal
C749,"Neoplasia maligna da glândula supra-renal, não especificada"
C760,"Neoplasia maligna da cabeça, face e pescoço"
C767,Neoplasia maligna de outras localizações mal definidas
C768,Neoplasia maligna de outras localizações e das mal definidas com lesão invasiva
C770,"Neoplasia maligna secundária e não especificada dos gânglios linfáticos da cabeça, face e pescoço"
C773,Neoplasia maligna secundária e não especificada dos gânglios linfáticos axilares e dos membros superiores
C774,Neoplasia maligna secundária e não especificada dos gânglios linfáticos inguinais e dos membros inferiores
C778,Neoplasia maligna secundária e não especificada dos gânglios linfáticos de múltiplas regiões
C780,Neoplasia maligna secundária dos pulmões
C786,Neoplasia maligna secundária do retroperitônio e do peritônio
C787,Neoplasia maligna secundária do fígado
C793,Neoplasia maligna secundária do encéfalo e das meninges cerebrais
C794,Neoplasia maligna secundária de outras partes do sistema nervoso e não especificadas
C795,Neoplasia maligna secundária dos ossos e da medula óssea
C798,Neoplasia maligna secundária de outra localização especificada
C80,"Neoplasia maligna, sem especificação de localização"
C810,"Doença de Hodgkin, predominância linfocítica"
C811,"Doença de Hodgkin, esclerose nodular"
C817,Outra forma da doença de Hodgkin
C819,"Doença de Hodgkin, não especificada"
C820,"Linfoma não-Hodgkin, pequenas células clivadas, folicular"
C829,"Linfoma não-Hodgkin, folicular, não especificado"
C833,"Linfoma não-Hodgkin difuso, grandes células (difuso)"
C835,"Linfoma não-Hodgkin difuso, linfoblástico (difuso)"
C837,Tumor de Burkitt
C839,"Linfoma não-Hodgkin difuso, não especificado"
C845,Outros linfomas de células T e os não especificados
C851,"Linfoma de células B, não especificado"
C857,Outros tipos especificados de linfoma não-Hodgkin
C859,Linfoma não-Hodgkin de tipo não especificado
C889,"Doença imunoproliferativa maligna, não especificada"
C900,Mieloma múltiplo
C910,Leucemia linfoblástica aguda
C911,Leucemia linfocítica crônica
C919,"Leucemia linfóide, não especificada"
C920,Leucemia mielóide aguda
C921,Leucemia mielóide crônica
C924,Leucemia pró-mielocítica aguda
C929,"Leucemia mielóide, não especificada"
C945,Mielofibrose aguda
C950,Leucemia aguda de tipo celular não especificado
C959,Leucemia não especificada
C967,"Outras neoplasias malignas especificadas dos tecidos linfático, hematopoético e tecidos correlatos"
C97,Neoplasias malignas de localizações múltiplas independentes (primárias)
D043,Carcinoma in situ da pele de outras partes e de partes não especificadas da face
D044,Carcinoma in situ da pele do couro cabeludo e do pescoço
D048,Carcinoma in situ da pele de outras localizações
D051,Carcinoma intraductal in situ
D059,"Carcinoma in situ da mama, não especificado"
D060,Carcinoma in situ do endocérvix
D061,Carcinoma in situ do exocérvix
D067,Carcinoma in situ de outras partes do colo do útero
D069,"Carcinoma in situ do colo do útero, não especificado"
D093,Carcinoma in situ da tireóide e de outras glândulas endócrinas
D110,Neoplasia benigna da glândula parótida
D119,"Neoplasia benigna da glândula salivar maior, não especificada"
D141,Neoplasia benigna da laringe
D142,Neoplasia benigna da traquéia
D162,Neoplasia benigna dos ossos longos dos membros inferiores
D170,"Neoplasia lipomatosa benigna da pele e do tecido subcutâneo da cabeça, face e pescoço"
D171,Neoplasia lipomatosa benigna da pele e tecido subcutâneo do tronco
D172,Neoplasia lipomatosa benigna da pele e tecido subcutâneo dos membros
D173,Neoplasia lipomatosa benigna da pele e tecido subcutâneo de outras localizações e de localizações não especificadas
D177,Neoplasia lipomatosa benigna de outras localizações
D179,Neoplasia lipomatosa benigna de localização não especificada
D180,Hemangioma de qualquer localização
D181,Linfangioma de qualquer localização
D210,"Neoplasia benigna do tecido conjuntivo e outros tecidos moles da cabeça, face e pescoço"
D211,"Neoplasia benigna do tecido conjuntivo e outros tecidos moles dos membros superiores, incluindo ombro"
D219,"Neoplasia benigna do tecido conjuntivo e outros tecidos moles, sem outra especificação"
D220,Nevo melanocítico do lábio
D223,Nevo melanocítico de outras partes e de partes não especificadas da face
D225,Nevo melanocítico do tronco
D226,"Nevo melanocítico dos membros superiores, incluindo ombro"
D227,"Nevo melanocítico dos membros inferiores, incluindo quadril"
D229,"Nevo melanocítico, não especificado"
D231,"Neoplasia benigna da pele da pálpebra, incluindo o canto"
D233,Neoplasia benigna da pele de outras partes e de partes não especificadas da face
D234,Neoplasia benigna da pele do couro cabeludo e do pescoço
D235,Neoplasia benigna da pele do tronco
D239,"Neoplasia benigna da pele, não especificada"
D24,Neoplasia benigna da mama
D250,Leiomioma submucoso do útero
D251,Leiomioma intramural do útero
D252,Leiomioma subseroso do útero
D259,"Leiomioma do útero, não especificado"
D267,Neoplasia benigna de outras partes do útero
D27,Neoplasia benigna do ovário
D320,Neoplasia benigna das meninges cerebrais
D329,"Neoplasia benigna das meninges, não especificada"
D337,Neoplasia benigna de outras partes especificadas do sistema nervoso central
D34,Neoplasia benigna da glândula tireóide
D352,Neoplasia benigna da glândula hipófise (pituitária)
D369,Neoplasia benigna de localização não especificada
D370,"Neoplasia de comportamento incerto ou desconhecido do lábio, cavidade oral e faringe"
D374,Neoplasia de comportamento incerto ou desconhecido dos cólons
D380,Neoplasia de comportamento incerto ou desconhecido da laringe
D381,"Neoplasia de comportamento incerto ou desconhecido da traquéia, brônquios e pulmão"
D390,Neoplasia de comportamento incerto ou desconhecido do útero
D391,Neoplasia de comportamento incerto ou desconhecido do ovário
D400,Neoplasia de comportamento incerto ou desconhecido da próstata
D410,Neoplasia de comportamento incerto ou desconhecido do rim
D411,Neoplasia de comportamento incerto ou desconhecido da pelve renal
D414,Neoplasia de comportamento incerto ou desconhecido da bexiga
D430,"Neoplasia de comportamento incerto ou desconhecido do encéfalo, supratentorial"
D431,"Neoplasia de comportamento incerto ou desconhecido do encéfalo, infratentorial"
D432,"Neoplasia de comportamento incerto ou desconhecido do encéfalo, não especificado"
D437,Neoplasia de comportamento incerto ou desconhecido de outras partes do sistema nervoso central
D439,"Neoplasia de comportamento incerto ou desconhecido do sistema nervoso central, não especificado"
D440,Neoplasia de comportamento incerto ou desconhecido da glândula tireóide
D443,Neoplasia de comportamento incerto ou desconhecido da glândula hipófise (pituitária)
D464,"Anemia refratária, não especificada"
D467,Outras síndromes mielodisplásicas
D469,"Síndrome mielodisplásica, não especificada"
D479,"Neoplasia de comportamento incerto ou desconhecido dos tecidos linfático, hematopoético e tecidos correlatos, não especificada"
D480,Neoplasia de comportamento incerto ou desconhecido dos ossos e cartilagens articulares
D481,Neoplasia de comportamento incerto ou desconhecido do tecido conjuntivo e outros tecidos moles
D485,Neoplasia de comportamento incerto ou desconhecido da pele
D486,Neoplasia de comportamento incerto ou desconhecido da mama
D487,Neoplasia de comportamento incerto ou desconhecido de outras localizações especificadas
D489,Neoplasia de comportamento incerto ou desconhecido sem outra especificação
D500,Anemia por deficiência de ferro secundária à perda de sangue (crônica)
D508,Outras anemias por deficiência de ferro
D509,Anemia por deficiência de ferro não especificada
D518,Outras anemias por deficiência de vitamina B12
D530,Anemia por deficiência de proteínas
D538,Outras anemias nutricionais especificadas
D539,Anemia nutricional não especificada
D570,Anemia falciforme com crise
D571,Anemia falciforme sem crise
D572,Transtornos falciformes heterozigóticos duplos
D600,Aplasia pura adquirida crônica da série vermelha
D613,Anemia aplástica idiopática
D619,Anemia aplástica não especificada
D62,Anemia aguda pós-hemorrágica
D630,Anemia em neoplasias
D644,Anemia diseritropoética congênita
D648,Outras anemias especificadas
D649,Anemia não especificada
D66,Deficiência hereditária do fator VIII
D689,Defeito de coagulação não especificado
D691,Defeitos qualitativos das plaquetas
D693,Púrpura trombocitopênica idiopática
D696,Trombocitopenia não especificada
D70,Agranulocitose
D729,Transtornos não especificados dos glóbulos brancos
D758,Outras doenças especificadas do sangue e dos órgãos hematopoéticos
D759,Doença não especificada do sangue e dos órgãos hematopoéticos
D77,Outros transtornos do sangue e dos órgãos hematopoéticos em doenças classificadas em outra parte
D800,Hipogamaglobulinemia hereditária
D801,Hipogamaglobulinemia não familiar
D803,Deficiência seletiva de subclasses de imunoglobulina G [IgG]
D809,Imunodeficiência não especificada com predominância de defeitos de anticorpos
D819,Deficiências imunitárias combinadas não especificadas
D830,Imunodeficiência comum variável com predominância de anormalidades do número e da função das células B
D831,Imunodeficiência comum variável com predominância de transtornos imunorregulatórios de células T
D838,Outras imunodeficiências comuns variáveis
D839,Imunodeficiência comum variável não especificada
D849,Imunodeficiência não especificada
E039,Hipotireoidismo não especificado
E041,Bócio não-tóxico uninodular
E042,Bócio não-tóxico multinodular
E048,Outro bócio não-tóxico especificado
E065,Outras tireoidites crônicas
E079,Transtorno não especificado da tireóide
E100,Diabetes mellitus insulino-dependente - com coma
E101,Diabetes mellitus insulino-dependente - com cetoacidose
E105,Diabetes mellitus insulino-dependente - com complicações circulatórias periféricas
E106,Diabetes mellitus insulino-dependente - com outras complicações especificadas
E107,Diabetes mellitus insulino-dependente - com complicações múltiplas
E108,Diabetes mellitus insulino-dependente - com complicações não especificadas
E109,Diabetes mellitus insulino-dependente - sem complicações
E111,Diabetes mellitus não-insulino-dependente - com cetoacidose
E115,Diabetes mellitus não-insulino-dependente - com complicações circulatórias periféricas
E116,Diabetes mellitus não-insulino-dependente - com outras complicações especificadas
E118,Diabetes mellitus não-insulino-dependente - com complicações não especificadas
E119,Diabetes mellitus não-insulino-dependente - sem complicações
E131,Outros tipos especificados de diabetes mellitus - com cetoacidose
E135,Outros tipos especificados de diabetes mellitus - com complicações circulatórias periféricas
E138,Outros tipos especificados de diabetes mellitus - com complicações não especificadas
E139,Outros tipos especificados de diabetes mellitus - sem complicações
E141,Diabetes mellitus não especificado - com cetoacidose
E145,Diabetes mellitus não especificado - com complicações circulatórias periféricas
E146,Diabetes mellitus não especificado - com outras complicações especificadas
E147,Diabetes mellitus não especificado - com complicações múltiplas
E148,Diabetes mellitus não especificado - com complicações não especificadas
E149,Diabetes mellitus não especificado - sem complicações
E210,Hiperparatireoidismo primário
E211,Hiperparatireoidismo secundário não classificado em outra parte
E240,Síndrome de Cushing dependente da hipófise
E260,Hiperaldosteronismo primário
E43,Desnutrição protéico-calórica grave não especificada
E440,Desnutrição protéico-calórica moderada
E441,Desnutrição protéico-calórica leve
E46,Desnutrição protéico-calórica não especificada
E65,Adiposidade localizada
E660,Obesidade devida a excesso de calorias
E668,Outra obesidade
E669,Obesidade não especificada
E700,Fenilcetonúria clássica
E702,Distúrbios do metabolismo da tirosina
E713,Distúrbios do metabolismo de ácidos graxos
E730,Deficiência congênita de lactase
E761,Mucopolissacaridose do tipo II
E763,Mucopolissacaridose não especificada
E831,Doença do metabolismo do ferro
E835,Distúrbios do metabolismo do cálcio
E839,Distúrbio não especificado do metabolismo mineral
E840,Fibrose cística com manifestações pulmonares
E849,Fibrose cística não especificada
E86,Depleção de volume
E870,Hiperosmolaridade e hipernatremia
E871,Hiposmolaridade e hiponatremia
E874,Distúrbio misto do equilíbrio ácido-básico
E875,Hiperpotassemia
E876,Hipopotassemia
E878,Outros transtornos do equilíbrio hidroeletrolítico não classificados em outra parte
E881,Lipodistrofia não classificada em outra parte
E882,Lipomatose não classificada em outra parte
E888,Outros distúrbios especificados do metabolismo
E889,Distúrbio metabólico não especificado
E90,Transtornos nutricionais e metabólicos em doenças classificadas em outra parte
F028,Demência em outras doenças especificadas classificadas em outra parte
F03,Demência não especificada
F058,Outro delirium
F059,Delirium não especificado
F062,Transtorno delirante orgânico [tipo esquizofrênico]
F063,Transtornos do humor [afetivos] orgânicos
F068,Outros transtornos mentais especificados devidos a uma lesão e disfunção cerebral e a uma doença física
F069,Transtorno mental não especificado devido a uma lesão e disfunção cerebral e a uma doença física
F09,Transtorno mental orgânico ou sintomático não especificado
F100,Transtornos mentais e comportamentais devidos ao uso de álcool - intoxicação aguda
F101,Transtornos mentais e comportamentais devidos ao uso de álcool - uso nocivo para a saúde
F102,Transtornos mentais e comportamentais devidos ao uso de álcool - síndrome de dependência
F103,Transtornos mentais e comportamentais devidos ao uso de álcool - síndrome [estado] de abstinência
F105,Transtornos mentais e comportamentais devidos ao uso de álcool - transtorno psicótico
F108,Transtornos mentais e comportamentais devidos ao uso de álcool - outros transtornos mentais ou comportamentais
F109,Transtornos mentais e comportamentais devidos ao uso de álcool - transtorno mental ou comportamental não especificado
F110,Transtornos mentais e comportamentais devidos ao uso de opiáceos - intoxicação aguda
F120,Transtornos mentais e comportamentais devidos ao uso de canabinóides - intoxicação aguda
F122,Transtornos mentais e comportamentais devidos ao uso de canabinóides - síndrome de dependência
F130,Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos - intoxicação aguda
F140,Transtornos mentais e comportamentais devidos ao uso da cocaína - intoxicação aguda
F141,Transtornos mentais e comportamentais devidos ao uso da cocaína - uso nocivo para a saúde
F142,Transtornos mentais e comportamentais devidos ao uso da cocaína - síndrome de dependência
F148,Transtornos mentais e comportamentais devidos ao uso da cocaína - outros transtornos mentais ou comportamentais
F149,Transtornos mentais e comportamentais devidos ao uso da cocaína - transtorno mental ou comportamental não especificado
F150,"Transtornos mentais e comportamentais devidos ao uso de outros estimulantes, inclusive a cafeína - intoxicação aguda"
F169,Transtornos mentais e comportamentais devidos ao uso de alucinógenos - transtorno mental ou comportamental não especificado
F190,Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas - intoxicação aguda
F191,Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas - uso nocivo para a saúde
F192,Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas - síndrome de dependência
F195,Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas - transtorno psicótico
F198,Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas - outros transtornos mentais ou comportamentais
F199,Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas - transtorno mental ou comportamental não especificado
F200,Esquizofrenia paranóide
F201,Esquizofrenia hebefrênica
F203,Esquizofrenia indiferenciada
F205,Esquizofrenia residual
F206,Esquizofrenia simples
F208,Outras esquizofrenias
F209,Esquizofrenia não especificada
F220,Transtorno delirante
F230,"Transtorno psicótico agudo polimorfo, sem sintomas esquizofrênicos"
F231,"Transtorno psicótico agudo polimorfo, com sintomas esquizofrênicos"
F238,Outros transtornos psicóticos agudos e transitórios
F239,Transtorno psicótico agudo e transitório não especificado
F250,Transtorno esquizoafetivo do tipo maníaco
F258,Outros transtornos esquizoafetivos
F29,Psicose não-orgânica não especificada
F310,"Transtorno afetivo bipolar, episódio atual hipomaníaco"
F311,"Transtorno afetivo bipolar, episódio atual maníaco sem sintomas psicóticos"
F312,"Transtorno afetivo bipolar, episódio atual maníaco com sintomas psicóticos"
F314,"Transtorno afetivo bipolar, episódio atual depressivo grave sem sintomas psicóticos"
F315,"Transtorno afetivo bipolar, episódio atual depressivo grave com sintomas psicóticos"
F316,"Transtorno afetivo bipolar, episódio atual misto"
F317,"Transtorno afetivo bipolar, atualmente em remissão"
F318,Outros transtornos afetivos bipolares
F319,Transtorno afetivo bipolar não especificado
F320,Episódio depressivo leve
F321,Episódio depressivo moderado
F322,Episódio depressivo grave sem sintomas psicóticos
F323,Episódio depressivo grave com sintomas psicóticos
F328,Outros episódios depressivos
F329,Episódio depressivo não especificado
F330,"Transtorno depressivo recorrente, episódio atual leve"
F332,"Transtorno depressivo recorrente, episódio atual grave sem sintomas psicóticos"
F333,"Transtorno depressivo recorrente, episódio atual grave com sintomas psicóticos"
F338,Outros transtornos depressivos recorrentes
F339,Transtorno depressivo recorrente sem especificação
F411,Ansiedade generalizada
F500,Anorexia nervosa
F603,Transtorno de personalidade com instabilidade emocional
F608,Outros transtornos específicos da personalidade
F609,Transtorno não especificado da personalidade
F621,Modificação duradoura da personalidade após doença psiquiátrica
F640,Transexualismo
F701,"Retardo mental leve - comprometimento significativo do comportamento, requerendo vigilância ou tratamento"
F708,Retardo mental leve - outros comprometimentos do comportamento
F710,Retardo mental moderado - menção de ausência de ou de comprometimento mínimo do comportamento
F711,"Retardo mental moderado - comprometimento significativo do comportamento, requerendo vigilância ou tratamento"
F718,Retardo mental moderado - outros comprometimentos do comportamento
F720,Retardo mental grave - menção de ausência de ou de comprometimento mínimo do comportamento
F721,"Retardo mental grave - comprometimento significativo do comportamento, requerendo vigilância ou tratamento"
F728,Retardo mental grave - outros comprometimentos do comportamento
F731,"Retardo mental profundo - comprometimento significativo do comportamento, requerendo vigilância ou tratamento"
F840,Autismo infantil
F913,Distúrbio desafiador e de oposição
F918,Outros transtornos de conduta
F919,Transtorno de conduta não especificado
G009,Meningite bacteriana não especificada
G048,"Outras encefalites, mielites e encefalomielites"
G049,"Encefalite, mielite e encefalomielite não especificada"
G060,Abscesso e granuloma intracranianos
G09,Seqüelas de doenças inflamatórias do sistema nervoso central
G10,Doença de Huntington
G120,Atrofia muscular espinal infantil tipo I [Werdnig-Hoffman]
G122,Doença do neurônio motor
G20,Doença de Parkinson
G308,Outras formas de doença de Alzheimer
G309,Doença de Alzheimer não especificada
G310,Atrofia cerebral circunscrita
G318,Outras doenças degenerativas especificadas do sistema nervoso
G319,"Doença degenerativa do sistema nervoso, não especificada"
